cust_id,recommended_movie
7,Taking Lives
7,Coach Carter
7,Secondhand Lions
79,Sex and the City: Season 4
79,Elizabeth
79,10 Things I Hate About You
769,Bottle Rocket
769,Seven Samurai
769,Training Day
1310,Being John Malkovich
1310,Eternal Sunshine of the Spotless Mind
1310,Sideways
1333,Midnight Cowboy
1333,Dawn of the Dead
1333,Sex and the City: Season 4
1427,Clerks
1427,"Lock, Stock and Two Smoking Barrels"
1427,Fear and Loathing in Las Vegas
1442,Identity
1442,Bram Stoker's Dracula
1442,Hostage
1457,Singin' in the Rain
1457,Seven Samurai
1457,Network
1500,A Cinderella Story
1500,Taxi
1500,Ghost Ship
1527,The Emperor's New Groove
1527,Look Who's Talking Too
1527,50 First Dates
2000,Flatliners
2000,The Hand that Rocks the Cradle
2000,Casino: 10th Anniversary Edition
2128,Fear and Loathing in Las Vegas
2128,Casino: 10th Anniversary Edition
2128,The Deer Hunter
2213,Look Who's Talking Too
2213,The Pacifier
2213,Freaky Friday
2225,Die Hard 2: Die Harder
2225,Under Siege
2225,Lethal Weapon 3
2455,Look Who's Talking Too
2455,Robin Hood: Prince of Thieves
2455,A Cinderella Story
2469,Brother Bear (Theatrical Widescreen Version)
2469,America's Sweethearts
2469,Uptown Girls
2678,Better Off Dead
2678,Wayne's World
2678,Igby Goes Down
2787,"Lock, Stock and Two Smoking Barrels"
2787,Bottle Rocket
2787,Y Tu Mama Tambien
2905,Around the World in 80 Days
2905,Blade: Trinity
2905,The Scorpion King
2976,Sex and the City: Season 4
2976,Elizabeth
2976,Forever Young
3039,Casino: 10th Anniversary Edition
3039,The Deer Hunter
3039,"The Godfather, Part II"
3321,Taking Lives
3321,Coach Carter
3321,Sleepless in Seattle
3363,Kill Bill: Vol. 2
3363,"Lock, Stock and Two Smoking Barrels"
3363,Fear and Loathing in Las Vegas
3458,Rabbit-Proof Fence
3458,The Pianist
3458,Monty Python's The Meaning of Life: Special Edition
3595,Fear and Loathing in Las Vegas
3595,The Deer Hunter
3595,Seven Samurai
3604,The Hand that Rocks the Cradle
3604,Casino: 10th Anniversary Edition
3604,Dirty Rotten Scoundrels
3694,The Maltese Falcon
3694,Monty Python's The Meaning of Life: Special Edition
3694,Spirited Away
3798,National Lampoon's Van Wilder
3798,Elf
3798,American Wedding
3998,Barbershop
3998,American Wedding
3998,The King and I
4057,First Knight
4057,Coach Carter
4057,Look Who's Talking Too
4306,Singin' in the Rain
4306,Rosemary's Baby
4306,Talk to Her
4315,Midnight Cowboy
4315,A Streetcar Named Desire
4315,"The Godfather, Part II"
4421,"Lock, Stock and Two Smoking Barrels"
4421,Fear and Loathing in Las Vegas
4421,Casino: 10th Anniversary Edition
4597,Fear and Loathing in Las Vegas
4597,Casino: 10th Anniversary Edition
4597,History of the World: Part 1
4679,Brother Bear (Theatrical Widescreen Version)
4679,The Emperor's New Groove
4679,Look Who's Talking Too
4706,The Maltese Falcon
4706,Singin' in the Rain
4706,Network
4905,Blade: Trinity
4905,Stargate
4905,Shanghai Noon
4906,The American President
4906,Serendipity
4906,America's Sweethearts
4983,Frida
4983,Singin' in the Rain
4983,The Motorcycle Diaries
5399,Kill Bill: Vol. 2
5399,Casino: 10th Anniversary Edition
5399,The Deer Hunter
5530,The Deer Hunter
5530,Bottle Rocket
5530,25th Hour
5569,Napoleon Dynamite
5569,Igby Goes Down
5569,25th Hour
5618,Look Who's Talking Too
5618,A Cinderella Story
5618,Hostage
5652,Talk to Her
5652,Swimming Pool
5652,Aliens: Collector's Edition
5980,Taking Lives
5980,Coach Carter
5980,Secondhand Lions
6056,Fear and Loathing in Las Vegas
